"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"0691148aee60ca47977c187804f935ae","londrina","PR",47,53,37,5868.51,1490.94,7359.45,3.99
"0692610d8abe24f287e9fae90ea0bbee","sao paulo","SP",4,4,3,173.99,31.73,205.72,4.00
"06a2c3af7b3aee5d69171b0e14f0ee87","sao luis","MA",392,405,44,36408.95,12141.29,48550.24,4.00
"06bb3a2fe5e7b7a845b13e8fb91bd944","belo horizonte","MG",17,18,14,1536.19,326.14,1862.33,4.61
"06df0c10d34e459d9672bc77388742eb","maringa","PR",26,30,1,9070.00,525.77,9595.77,4.37
"06e5eefc71ec47ae763c5c6f8db7064f","porto alegre","RS",92,95,35,22188.56,2193.28,24381.84,3.90
"07017df32dc5f2f1d2801e579548d620","joao pessoa","PB",8,9,3,946.49,181.75,1128.24,4.11
"070d165398b553f3b4b851c216b8a358","sao paulo","SP",32,39,11,3393.16,1003.59,4396.75,3.50
"0725b8c0f3f906e58f70cbe76b7c748c","guarulhos","SP",17,37,15,2190.30,715.69,2905.99,3.58
"0743a0239d764b9a0f959a57d07e36ab","sao paulo","SP",4,4,2,336.96,66.26,403.22,4.75
"0747d5bb69f0586cc869d8af4c50f93e","saquarema","RJ",14,15,10,346.60,208.89,555.49,3.47
"0761743cbffb25d7148189e9f1a5f03a","ribeirao preto","SP",3,7,3,241.20,86.20,327.40,4.29
"077c5fae4bea9500e3737b16f71b9d3a","sorocaba","SP",4,6,3,106.80,70.44,177.24,4.67
"0791d9fc1e30678ecf03d3e55fa108d3","belo horizonte","MG",5,11,5,842.00,186.99,1028.99,2.73
"079d295dcbf06ee8bb1b65ba964eb2b6","sao paulo","SP",5,10,3,349.30,190.79,540.09,4.80
"07a9bc7f61396b658ddf3ac534efe44c","sao paulo","SP",1,1,1,119.90,15.59,135.49,3.50
"07bf9669d84d1f11be443a9dd938f698","sao paulo","SP",18,24,11,1776.00,646.22,2422.22,3.25
"07d75e33f2750d97d467fb57e4dfdd8a","sao paulo","SP",2,2,2,722.40,37.19,759.59,2.50
"07de60b03d150fb3ea09eab5da5e4c8b","ibitinga","SP",9,9,4,719.10,169.90,889.00,4.33
"07e8e8fc5222bb358e6f259da3197074","sao paulo","SP",2,2,2,51.80,23.06,74.86,4.00
"080102cd0a76b09e0dcf55fcacc60e05","belo horizonte","MG",124,130,43,5716.78,2195.93,7912.71,4.49
"080199a181c46c657dc5aa235411be3b","osasco","SP",79,83,40,14504.20,1040.68,15544.88,4.61
"08061dc0fc165ed41288cc7acde738ee","osasco","SP",4,4,3,123.80,58.42,182.22,4.50
"08084d990eb3f53af056ccbc1730c8a7","sao paulo","SP",12,12,3,372.50,234.29,606.79,4.45
"081acf3de680d554796c9cf041be7bc2","vespasiano","MG",4,8,4,1597.30,205.50,1802.80,4.13
"082e0bf4cb865a6533b1e8e498cc0255","botucatu","SP",11,23,17,2073.30,991.03,3064.33,3.30
"085f6f7e049c996695fb2074fe38d45e","taubate","SP",6,8,6,305.40,130.56,435.96,3.63
"08633c14ef2db992c11f840f04fad4cd","ribeirao pires","SP",74,97,16,7644.30,1424.52,9068.82,4.24
"0873d9f8f36123f8d910f4760e788cfb","barueri","SP",6,6,6,7265.59,161.06,7426.65,3.17
"0885aaf116795758dfeb5f1032487bcd","ferraz de vasconcelos","SP",28,30,20,2648.00,514.32,3162.32,4.20
"0887a9f087bcd5d9f6642b52f897fc6c","cananeia","SP",12,12,3,1642.00,220.35,1862.35,4.42
"08ad4ac1388e4420ca531c3edfc46198","itapevi","SP",6,7,5,221.62,89.05,310.67,2.71
"08cdbae123ff67ca4e36d9d641ce0119","uba","MG",4,6,3,3098.99,1096.47,4195.46,2.50
"08d0949a9a17c027262db1f3c450c26c","cascavel","PR",12,12,9,324.80,233.04,557.84,3.71
"08d1c9478fb0d7d7fcac9c0da4e82fc7","belo horizonte","MG",1,1,1,538.00,67.57,605.57,5.00
"08d2d642cf72b622b14dde1d2f5eb2f5","marilia","SP",17,21,8,914.00,321.26,1235.26,4.45
